# adapted from yang et al https://www.nature.com/articles/s41597-024-03529-0#Sec13 data in 1e8 Yuan
year,NL_NAME_2,NAME_2,NAME_1,gdp_l2
2018,安庆市,Anqing,Anhui,1801.84
2018,蚌埠市,Bengbu,Anhui,1603.32
2018,亳州市,Bozhou,Anhui,1180.21
2018,池州市,Chizhou,Anhui,633.8
2018,滁州市,Chuzhou,Anhui,1681.84
2018,阜阳市,Fuyang,Anhui,1661.83
2018,合肥市,Hefei,Anhui,7269.93
2018,淮北市,Huaibei,Anhui,940.13
2018,淮南市,Huainan,Anhui,1197.1
2018,黄山市,Huangshan,Anhui,622.98
2018,六安市,Lu'an,Anhui,1189.33
2018,马鞍山市,Maanshan,Anhui,1801.72
2018,宿州市,Suzhou,Anhui,1533.02
2018,铜陵市,Tongling,Anhui,1157.86
2018,芜湖市,Wuhu,Anhui,3107.26
2018,宣城市,Xuancheng,Anhui,1227.35
2018,北京|北京,Beijing,Beijing,33106.0
2018,重慶|重庆,Chongqing,Chongqing,21588.8
2018,福州市,Fuzhou,Fujian,7865.34
2018,龙岩市,Longyan,Fujian,2393.3
2018,南平市,Nanping,Fujian,1792.52
2018,宁德市,Ningde,Fujian,1943.45
2018,莆田市,Putian,Fujian,2248.25
2018,泉州市,Quanzhou,Fujian,8469.87
2018,三明市,Sanming,Fujian,2353.64
2018,厦门市,Xiamen,Fujian,4791.41
2018,漳州市,Zhangzhou,Fujian,3947.67
2018,白银市,Baiyin,Gansu,511.999
2018,定西市,Dingxi,Gansu,356.261
2018,甘南藏族自治州,Gannan Tibetan,Gansu,155.727
2018,嘉峪关市,Jiayuguan,Gansu,299.62
2018,金昌市,Jinchang,Gansu,264.823
2018,酒泉市,Jiuquan,Gansu,597.324
2018,兰州市,Lanzhou,Gansu,2661.92
2018,临夏回族自治州,Linxia Hui,Gansu,255.349
2018,陇南市,Longnan,Gansu,379.227
2018,平凉市,Pingliang,Gansu,395.165
2018,庆阳市,Qingyang,Gansu,722.584
2018,天水市,Tianshui,Gansu,659.081
2018,武威市,Wuwei,Gansu,470.63
2018,张掖市,Zhangye,Gansu,408.749
2018,潮州市,Chaozhou,Guangdong,1067.28
2018,东莞市,Dongguan,Guangdong,8285.12
2018,佛山市,Foshan,Guangdong,9938.2
2018,广州市,Guangzhou,Guangdong,21042.0
2018,河源市,Heyuan,Guangdong,1006.25
2018,惠州市,Huizhou,Guangdong,4104.11
2018,江门市,Jiangmen,Guangdong,2900.84
2018,揭阳市,Jieyang,Guangdong,1902.09
2018,茂名市,Maoming,Guangdong,3093.34
2018,梅州市,Meizhou,Guangdong,1111.36
2018,清远市,Qingyuan,Guangdong,1581.61
2018,汕头市,Shantou,Guangdong,2512.99
2018,汕尾市,Shanwei,Guangdong,921.701
2018,韶关市,Shaoguan,Guangdong,1344.86
2018,深圳市,Shenzhen,Guangdong,25248.2
2018,阳江市,Yangjiang,Guangdong,1167.73
2018,云浮市,Yunfu,Guangdong,864.84
2018,湛江市,Zhanjiang,Guangdong,3016.73
2018,肇庆市,Zhaoqing,Guangdong,2203.12
2018,中山市,Zhongshan,Guangdong,3633.53
2018,珠海市,Zhuhai,Guangdong,2943.81
2018,百色市,Baise,Guangxi,1176.77
2018,北海市,Beihai,Guangxi,1213.3
2018,崇左市,Chongzuo,Guangxi,1016.49
2018,防城港市,Fangchenggang,Guangxi,696.818
2018,贵港市,Guigang,Guangxi,1169.88
2018,桂林市,Guilin,Guangxi,2003.61
2018,河池市,Hechi,Guangxi,788.3
2018,贺州市,Hezhou,Guangxi,602.63
2018,来宾市,Laibin,Guangxi,692.411
2018,柳州市,Liuzhou,Guangxi,3053.65
2018,南宁市,Nanning,Guangxi,4162.37
2018,钦州市,Qinzhou,Guangxi,1291.96
2018,梧州市,Wuzhou,Guangxi,1029.85
2018,玉林市,Yulin,Guangxi,1615.46
2018,安顺市,Anshun,Guizhou,849.4
2018,毕节地区,Bijie,Guizhou,1921.43
2018,贵阳市,Guiyang,Guizhou,3724.97
2018,六盘水市,Liupanshui,Guizhou,1525.69
